archetype,delta,composite,alpha,n_finite,detection_rate
round_number,2.0,z_plus_renorm,0.01,500,0.014
round_number,2.0,z_plus_renorm,0.001,500,0.0
round_number,2.0,breadth,0.05,500,0.028
round_number,2.0,breadth,0.01,500,0.0
round_number,2.0,breadth,0.001,500,0.0
round_number,2.0,z_mahalanobis_sq,0.05,500,0.142
round_number,2.0,z_mahalanobis_sq,0.01,500,0.04
round_number,2.0,z_mahalanobis_sq,0.001,500,0.002
round_number,2.0,t_iut,0.05,500,0.13
round_number,2.0,t_iut,0.01,500,0.024
round_number,2.0,t_iut,0.001,500,0.01
round_number,2.0,z_plus_softmax,0.05,500,0.124
round_number,2.0,z_plus_softmax,0.01,500,0.122
round_number,2.0,z_plus_softmax,0.001,500,0.122
round_number,2.0,z_plus_orth,0.05,500,0.122
round_number,2.0,z_plus_orth,0.01,500,0.122
round_number,2.0,z_plus_orth,0.001,500,0.122
round_number,3.0,z_plus,0.05,500,0.302
round_number,3.0,z_plus,0.01,500,0.108
round_number,3.0,z_plus,0.001,500,0.024
round_number,3.0,z_plus_renorm,0.05,500,0.17
round_number,3.0,z_plus_renorm,0.01,500,0.022
round_number,3.0,z_plus_renorm,0.001,500,0.002
round_number,3.0,breadth,0.05,500,0.028
round_number,3.0,breadth,0.01,500,0.0
round_number,3.0,breadth,0.001,500,0.0
round_number,3.0,z_mahalanobis_sq,0.05,500,0.178
round_number,3.0,z_mahalanobis_sq,0.01,500,0.06
round_number,3.0,z_mahalanobis_sq,0.001,500,0.002
round_number,3.0,t_iut,0.05,500,0.092
round_number,3.0,t_iut,0.01,500,0.024
round_number,3.0,t_iut,0.001,500,0.004
round_number,3.0,z_plus_softmax,0.05,500,0.156
round_number,3.0,z_plus_softmax,0.01,500,0.152
round_number,3.0,z_plus_softmax,0.001,500,0.15
round_number,3.0,z_plus_orth,0.05,500,0.156
round_number,3.0,z_plus_orth,0.01,500,0.152
round_number,3.0,z_plus_orth,0.001,500,0.152
temporal_smoothing,0.5,z_plus,0.05,500,0.056
temporal_smoothing,0.5,z_plus,0.01,500,0.012
temporal_smoothing,0.5,z_plus,0.001,500,0.0
temporal_smoothing,0.5,z_plus_renorm,0.05,493,0.0608519269776876
temporal_smoothing,0.5,z_plus_renorm,0.01,493,0.0162271805273833
temporal_smoothing,0.5,z_plus_renorm,0.001,493,0.0020283975659229
temporal_smoothing,0.5,breadth,0.05,500,0.012
temporal_smoothing,0.5,breadth,0.01,500,0.0
temporal_smoothing,0.5,breadth,0.001,500,0.0
temporal_smoothing,0.5,z_mahalanobis_sq,0.05,500,0.05
temporal_smoothing,0.5,z_mahalanobis_sq,0.01,500,0.014
temporal_smoothing,0.5,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,0.5,t_iut,0.05,500,0.062
temporal_smoothing,0.5,t_iut,0.01,500,0.012
temporal_smoothing,0.5,t_iut,0.001,500,0.0
temporal_smoothing,0.5,z_plus_softmax,0.05,493,0.1338742393509127
temporal_smoothing,0.5,z_plus_softmax,0.01,493,0.1196754563894523
temporal_smoothing,0.5,z_plus_softmax,0.001,493,0.1075050709939148
temporal_smoothing,0.5,z_plus_orth,0.05,493,0.1338742393509127
temporal_smoothing,0.5,z_plus_orth,0.01,493,0.1135902636916835
temporal_smoothing,0.5,z_plus_orth,0.001,493,0.1075050709939148
