archetype,delta,detector,alpha,n_finite,flag_rate
peer_gaming,1.0,z4,0.01,500,0.082
peer_gaming,1.0,z4,0.001,500,0.014
peer_gaming,1.0,z6,0.05,500,0.318
peer_gaming,1.0,z6,0.01,500,0.238
peer_gaming,1.0,z6,0.001,500,0.172
peer_gaming,1.0,z8,0.05,500,0.048
peer_gaming,1.0,z8,0.01,500,0.012
peer_gaming,1.0,z8,0.001,500,0.0
peer_gaming,1.0,z57,0.05,500,0.264
peer_gaming,1.0,z57,0.01,500,0.086
peer_gaming,1.0,z57,0.001,500,0.018
peer_gaming,1.5,z1,0.05,500,0.068
peer_gaming,1.5,z1,0.01,500,0.068
peer_gaming,1.5,z1,0.001,500,0.068
peer_gaming,1.5,z2,0.05,500,0.232
peer_gaming,1.5,z2,0.01,500,0.154
peer_gaming,1.5,z2,0.001,500,0.096
peer_gaming,1.5,z3,0.05,500,0.374
peer_gaming,1.5,z3,0.01,500,0.132
peer_gaming,1.5,z3,0.001,500,0.046
peer_gaming,1.5,z4,0.05,500,0.366
peer_gaming,1.5,z4,0.01,500,0.148
peer_gaming,1.5,z4,0.001,500,0.028
peer_gaming,1.5,z6,0.05,500,0.306
peer_gaming,1.5,z6,0.01,500,0.246
peer_gaming,1.5,z6,0.001,500,0.168
peer_gaming,1.5,z8,0.05,500,0.056
peer_gaming,1.5,z8,0.01,500,0.01
peer_gaming,1.5,z8,0.001,500,0.0
peer_gaming,1.5,z57,0.05,500,0.47
peer_gaming,1.5,z57,0.01,500,0.224
peer_gaming,1.5,z57,0.001,500,0.048
peer_gaming,2.0,z1,0.05,500,0.082
peer_gaming,2.0,z1,0.01,500,0.082
peer_gaming,2.0,z1,0.001,500,0.082
peer_gaming,2.0,z2,0.05,500,0.242
peer_gaming,2.0,z2,0.01,500,0.16
peer_gaming,2.0,z2,0.001,500,0.112
peer_gaming,2.0,z3,0.05,500,0.664
peer_gaming,2.0,z3,0.01,500,0.342
peer_gaming,2.0,z3,0.001,500,0.138
peer_gaming,2.0,z4,0.05,500,0.534
peer_gaming,2.0,z4,0.01,500,0.334
peer_gaming,2.0,z4,0.001,500,0.124
peer_gaming,2.0,z6,0.05,500,0.328
peer_gaming,2.0,z6,0.01,500,0.252
peer_gaming,2.0,z6,0.001,500,0.188
peer_gaming,2.0,z8,0.05,500,0.05
peer_gaming,2.0,z8,0.01,500,0.012
peer_gaming,2.0,z8,0.001,500,0.0
peer_gaming,2.0,z57,0.05,500,0.646
peer_gaming,2.0,z57,0.01,500,0.394
peer_gaming,2.0,z57,0.001,500,0.134
peer_gaming,3.0,z1,0.05,500,0.058
peer_gaming,3.0,z1,0.01,500,0.058
peer_gaming,3.0,z1,0.001,500,0.058
peer_gaming,3.0,z2,0.05,500,0.226
peer_gaming,3.0,z2,0.01,500,0.126
peer_gaming,3.0,z2,0.001,500,0.08
peer_gaming,3.0,z3,0.05,500,0.926
peer_gaming,3.0,z3,0.01,500,0.786
peer_gaming,3.0,z3,0.001,500,0.466
peer_gaming,3.0,z4,0.05,500,0.828
peer_gaming,3.0,z4,0.01,500,0.6
peer_gaming,3.0,z4,0.001,500,0.378
peer_gaming,3.0,z6,0.05,500,0.35
peer_gaming,3.0,z6,0.01,500,0.258
peer_gaming,3.0,z6,0.001,500,0.178
peer_gaming,3.0,z8,0.05,500,0.058
peer_gaming,3.0,z8,0.01,500,0.02
peer_gaming,3.0,z8,0.001,500,0.01
peer_gaming,3.0,z57,0.05,500,0.906
peer_gaming,3.0,z57,0.01,500,0.746
peer_gaming,3.0,z57,0.001,500,0.424
systematic,0.5,z1,0.05,500,0.134
systematic,0.5,z1,0.01,500,0.074
systematic,0.5,z1,0.001,500,0.074
systematic,0.5,z2,0.05,500,0.312
systematic,0.5,z2,0.01,500,0.226
systematic,0.5,z2,0.001,500,0.146
systematic,0.5,z3,0.05,500,0.132
systematic,0.5,z3,0.01,500,0.022
systematic,0.5,z3,0.001,500,0.0
systematic,0.5,z4,0.05,500,0.096
systematic,0.5,z4,0.01,500,0.02
systematic,0.5,z4,0.001,500,0.0
systematic,0.5,z6,0.05,500,0.42
systematic,0.5,z6,0.01,500,0.312
systematic,0.5,z6,0.001,500,0.232
systematic,0.5,z8,0.05,500,0.052
systematic,0.5,z8,0.01,500,0.01
systematic,0.5,z8,0.001,500,0.0
systematic,0.5,z57,0.05,500,0.124
systematic,0.5,z57,0.01,500,0.028
systematic,0.5,z57,0.001,500,0.004
systematic,1.0,z1,0.05,500,0.27
systematic,1.0,z1,0.01,500,0.078
systematic,1.0,z1,0.001,500,0.068
systematic,1.0,z2,0.05,500,0.41
systematic,1.0,z2,0.01,500,0.314
systematic,1.0,z2,0.001,500,0.2
systematic,1.0,z3,0.05,500,0.196
systematic,1.0,z3,0.01,500,0.054
systematic,1.0,z3,0.001,500,0.008
systematic,1.0,z4,0.05,500,0.164
systematic,1.0,z4,0.01,500,0.066
systematic,1.0,z4,0.001,500,0.014
systematic,1.0,z6,0.05,500,0.49
systematic,1.0,z6,0.01,500,0.37
systematic,1.0,z6,0.001,500,0.232
systematic,1.0,z8,0.05,500,0.064
systematic,1.0,z8,0.01,500,0.01
systematic,1.0,z8,0.001,500,0.002
systematic,1.0,z57,0.05,500,0.218
systematic,1.0,z57,0.01,500,0.078
systematic,1.0,z57,0.001,500,0.012
systematic,1.5,z1,0.05,500,0.43
systematic,1.5,z1,0.01,500,0.218
systematic,1.5,z1,0.001,500,0.078
systematic,1.5,z2,0.05,500,0.516
systematic,1.5,z2,0.01,500,0.388
systematic,1.5,z2,0.001,500,0.256
systematic,1.5,z3,0.05,500,0.414
systematic,1.5,z3,0.01,500,0.186
systematic,1.5,z3,0.001,500,0.05
systematic,1.5,z4,0.05,500,0.356
systematic,1.5,z4,0.01,500,0.164
systematic,1.5,z4,0.001,500,0.034
systematic,1.5,z6,0.05,500,0.608
systematic,1.5,z6,0.01,500,0.458
systematic,1.5,z6,0.001,500,0.316
systematic,1.5,z8,0.05,500,0.042
systematic,1.5,z8,0.01,500,0.004
systematic,1.5,z8,0.001,500,0.0
systematic,1.5,z57,0.05,500,0.428
systematic,1.5,z57,0.01,500,0.204
systematic,1.5,z57,0.001,500,0.07
systematic,2.0,z1,0.05,500,0.634
systematic,2.0,z1,0.01,500,0.374
