archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,1.0,z_plus_softmax,0.001,497,0.0845070422535211
temporal_smoothing,1.0,z_plus_orth,0.05,497,0.096579476861167
temporal_smoothing,1.0,z_plus_orth,0.01,497,0.0845070422535211
temporal_smoothing,1.0,z_plus_orth,0.001,497,0.0845070422535211
temporal_smoothing,1.5,z_plus,0.05,500,0.096
temporal_smoothing,1.5,z_plus,0.01,500,0.018
temporal_smoothing,1.5,z_plus,0.001,500,0.002
temporal_smoothing,1.5,z_plus_renorm,0.05,499,0.0420841683366733
temporal_smoothing,1.5,z_plus_renorm,0.01,499,0.0120240480961923
temporal_smoothing,1.5,z_plus_renorm,0.001,499,0.0
temporal_smoothing,1.5,breadth,0.05,500,0.008
temporal_smoothing,1.5,breadth,0.01,500,0.008
temporal_smoothing,1.5,breadth,0.001,500,0.0
temporal_smoothing,1.5,z_mahalanobis_sq,0.05,500,0.084
temporal_smoothing,1.5,z_mahalanobis_sq,0.01,500,0.008
temporal_smoothing,1.5,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,1.5,t_iut,0.05,500,0.084
temporal_smoothing,1.5,t_iut,0.01,500,0.012
temporal_smoothing,1.5,t_iut,0.001,500,0.0
temporal_smoothing,1.5,z_plus_softmax,0.05,499,0.1182364729458917
temporal_smoothing,1.5,z_plus_softmax,0.01,499,0.1142284569138276
temporal_smoothing,1.5,z_plus_softmax,0.001,499,0.1122244488977955
temporal_smoothing,1.5,z_plus_orth,0.05,499,0.1222444889779559
temporal_smoothing,1.5,z_plus_orth,0.01,499,0.1122244488977955
temporal_smoothing,1.5,z_plus_orth,0.001,499,0.1122244488977955
temporal_smoothing,2.0,z_plus,0.05,500,0.088
temporal_smoothing,2.0,z_plus,0.01,500,0.014
temporal_smoothing,2.0,z_plus,0.001,500,0.0
temporal_smoothing,2.0,z_plus_renorm,0.05,500,0.076
temporal_smoothing,2.0,z_plus_renorm,0.01,500,0.02
temporal_smoothing,2.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,2.0,breadth,0.05,500,0.008
temporal_smoothing,2.0,breadth,0.01,500,0.008
temporal_smoothing,2.0,breadth,0.001,500,0.0
temporal_smoothing,2.0,z_mahalanobis_sq,0.05,500,0.096
temporal_smoothing,2.0,z_mahalanobis_sq,0.01,500,0.012
