archetype,delta,detector,alpha,n_finite,flag_rate
peer_gaming,1.0,z2,0.001,500,0.1
peer_gaming,1.0,z3,0.05,500,0.212
peer_gaming,1.0,z3,0.01,500,0.07
peer_gaming,1.0,z3,0.001,500,0.01
peer_gaming,1.0,z4,0.05,500,0.286
peer_gaming,1.0,z4,0.01,500,0.108
peer_gaming,1.0,z4,0.001,500,0.024
peer_gaming,1.0,z6,0.05,500,0.274
peer_gaming,1.0,z6,0.01,500,0.208
peer_gaming,1.0,z6,0.001,500,0.158
peer_gaming,1.0,z8,0.05,500,0.046
peer_gaming,1.0,z8,0.01,500,0.01
peer_gaming,1.0,z8,0.001,500,0.002
peer_gaming,1.0,z57,0.05,500,0.236
peer_gaming,1.0,z57,0.01,500,0.092
peer_gaming,1.0,z57,0.001,500,0.016
peer_gaming,1.5,z1,0.05,500,0.058
peer_gaming,1.5,z1,0.01,500,0.058
peer_gaming,1.5,z1,0.001,500,0.058
peer_gaming,1.5,z2,0.05,500,0.24
peer_gaming,1.5,z2,0.01,500,0.162
peer_gaming,1.5,z2,0.001,500,0.096
peer_gaming,1.5,z3,0.05,500,0.386
peer_gaming,1.5,z3,0.01,500,0.176
peer_gaming,1.5,z3,0.001,500,0.036
peer_gaming,1.5,z4,0.05,500,0.478
peer_gaming,1.5,z4,0.01,500,0.192
peer_gaming,1.5,z4,0.001,500,0.04
peer_gaming,1.5,z6,0.05,500,0.296
peer_gaming,1.5,z6,0.01,500,0.22
peer_gaming,1.5,z6,0.001,500,0.162
peer_gaming,1.5,z8,0.05,500,0.05
peer_gaming,1.5,z8,0.01,500,0.014
peer_gaming,1.5,z8,0.001,500,0.0
peer_gaming,1.5,z57,0.05,500,0.406
peer_gaming,1.5,z57,0.01,500,0.18
peer_gaming,1.5,z57,0.001,500,0.042
peer_gaming,2.0,z1,0.05,500,0.04
peer_gaming,2.0,z1,0.01,500,0.04
peer_gaming,2.0,z1,0.001,500,0.04
peer_gaming,2.0,z2,0.05,500,0.212
peer_gaming,2.0,z2,0.01,500,0.152
peer_gaming,2.0,z2,0.001,500,0.098
peer_gaming,2.0,z3,0.05,500,0.612
peer_gaming,2.0,z3,0.01,500,0.34
peer_gaming,2.0,z3,0.001,500,0.124
peer_gaming,2.0,z4,0.05,500,0.624
peer_gaming,2.0,z4,0.01,500,0.394
peer_gaming,2.0,z4,0.001,500,0.132
peer_gaming,2.0,z6,0.05,500,0.304
peer_gaming,2.0,z6,0.01,500,0.222
peer_gaming,2.0,z6,0.001,500,0.164
peer_gaming,2.0,z8,0.05,500,0.052
peer_gaming,2.0,z8,0.01,500,0.014
peer_gaming,2.0,z8,0.001,500,0.0
peer_gaming,2.0,z57,0.05,500,0.644
peer_gaming,2.0,z57,0.01,500,0.364
peer_gaming,2.0,z57,0.001,500,0.122
peer_gaming,3.0,z1,0.05,500,0.064
peer_gaming,3.0,z1,0.01,500,0.064
peer_gaming,3.0,z1,0.001,500,0.064
peer_gaming,3.0,z2,0.05,500,0.268
peer_gaming,3.0,z2,0.01,500,0.18
peer_gaming,3.0,z2,0.001,500,0.13
peer_gaming,3.0,z3,0.05,500,0.942
peer_gaming,3.0,z3,0.01,500,0.756
peer_gaming,3.0,z3,0.001,500,0.43
peer_gaming,3.0,z4,0.05,500,0.886
peer_gaming,3.0,z4,0.01,500,0.76
peer_gaming,3.0,z4,0.001,500,0.494
peer_gaming,3.0,z6,0.05,500,0.274
peer_gaming,3.0,z6,0.01,500,0.198
peer_gaming,3.0,z6,0.001,500,0.144
peer_gaming,3.0,z8,0.05,500,0.052
peer_gaming,3.0,z8,0.01,500,0.008
peer_gaming,3.0,z8,0.001,500,0.0
peer_gaming,3.0,z57,0.05,500,0.932
peer_gaming,3.0,z57,0.01,500,0.802
peer_gaming,3.0,z57,0.001,500,0.47
systematic,0.5,z1,0.05,500,0.12
systematic,0.5,z1,0.01,500,0.062
systematic,0.5,z1,0.001,500,0.062
systematic,0.5,z2,0.05,500,0.31
systematic,0.5,z2,0.01,500,0.226
systematic,0.5,z2,0.001,500,0.154
systematic,0.5,z3,0.05,500,0.12
systematic,0.5,z3,0.01,500,0.028
systematic,0.5,z3,0.001,500,0.006
systematic,0.5,z4,0.05,500,0.108
systematic,0.5,z4,0.01,500,0.02
systematic,0.5,z4,0.001,500,0.0
systematic,0.5,z6,0.05,500,0.348
systematic,0.5,z6,0.01,500,0.242
systematic,0.5,z6,0.001,500,0.186
systematic,0.5,z8,0.05,500,0.048
systematic,0.5,z8,0.01,500,0.008
systematic,0.5,z8,0.001,500,0.002
systematic,0.5,z57,0.05,500,0.12
systematic,0.5,z57,0.01,500,0.04
systematic,0.5,z57,0.001,500,0.01
systematic,1.0,z1,0.05,500,0.232
systematic,1.0,z1,0.01,500,0.06
systematic,1.0,z1,0.001,500,0.04
systematic,1.0,z2,0.05,500,0.348
systematic,1.0,z2,0.01,500,0.25
systematic,1.0,z2,0.001,500,0.168
systematic,1.0,z3,0.05,500,0.274
systematic,1.0,z3,0.01,500,0.088
systematic,1.0,z3,0.001,500,0.018
systematic,1.0,z4,0.05,500,0.238
systematic,1.0,z4,0.01,500,0.086
systematic,1.0,z4,0.001,500,0.02
systematic,1.0,z6,0.05,500,0.51
systematic,1.0,z6,0.01,500,0.368
systematic,1.0,z6,0.001,500,0.264
systematic,1.0,z8,0.05,500,0.062
systematic,1.0,z8,0.01,500,0.01
systematic,1.0,z8,0.001,500,0.0
systematic,1.0,z57,0.05,500,0.226
systematic,1.0,z57,0.01,500,0.088
systematic,1.0,z57,0.001,500,0.014
systematic,1.5,z1,0.05,500,0.4
systematic,1.5,z1,0.01,500,0.202
systematic,1.5,z1,0.001,500,0.054
systematic,1.5,z2,0.05,500,0.44
systematic,1.5,z2,0.01,500,0.328
systematic,1.5,z2,0.001,500,0.214
systematic,1.5,z3,0.05,500,0.4
systematic,1.5,z3,0.01,500,0.174
systematic,1.5,z3,0.001,500,0.038
systematic,1.5,z4,0.05,500,0.48
systematic,1.5,z4,0.01,500,0.214
systematic,1.5,z4,0.001,500,0.048
systematic,1.5,z6,0.05,500,0.548
systematic,1.5,z6,0.01,500,0.42
systematic,1.5,z6,0.001,500,0.3
systematic,1.5,z8,0.05,500,0.046
systematic,1.5,z8,0.01,500,0.008
systematic,1.5,z8,0.001,500,0.002
systematic,1.5,z57,0.05,500,0.454
systematic,1.5,z57,0.01,500,0.21
systematic,1.5,z57,0.001,500,0.058
systematic,2.0,z1,0.05,500,0.652
systematic,2.0,z1,0.01,500,0.372
