archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,3.0,z_plus,0.001,500,0.008
temporal_smoothing,3.0,z_plus_renorm,0.05,500,0.15
temporal_smoothing,3.0,z_plus_renorm,0.01,500,0.032
temporal_smoothing,3.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,3.0,breadth,0.05,500,0.016
temporal_smoothing,3.0,breadth,0.01,500,0.0
temporal_smoothing,3.0,breadth,0.001,500,0.0
temporal_smoothing,3.0,z_mahalanobis_sq,0.05,500,0.15
temporal_smoothing,3.0,z_mahalanobis_sq,0.01,500,0.024
temporal_smoothing,3.0,z_mahalanobis_sq,0.001,500,0.0
temporal_smoothing,3.0,t_iut,0.05,500,0.06
temporal_smoothing,3.0,t_iut,0.01,500,0.014
temporal_smoothing,3.0,t_iut,0.001,500,0.0
temporal_smoothing,3.0,z_plus_softmax,0.05,500,0.166
temporal_smoothing,3.0,z_plus_softmax,0.01,500,0.164
temporal_smoothing,3.0,z_plus_softmax,0.001,500,0.158
temporal_smoothing,3.0,z_plus_orth,0.05,500,0.168
temporal_smoothing,3.0,z_plus_orth,0.01,500,0.164
temporal_smoothing,3.0,z_plus_orth,0.001,500,0.158
peer_gaming,0.5,z_plus,0.05,500,0.066
peer_gaming,0.5,z_plus,0.01,500,0.01
peer_gaming,0.5,z_plus,0.001,500,0.004
peer_gaming,0.5,z_plus_renorm,0.05,499,0.0280561122244488
peer_gaming,0.5,z_plus_renorm,0.01,499,0.0040080160320641
peer_gaming,0.5,z_plus_renorm,0.001,499,0.0
peer_gaming,0.5,breadth,0.05,500,0.024
peer_gaming,0.5,breadth,0.01,500,0.0
peer_gaming,0.5,breadth,0.001,500,0.0
peer_gaming,0.5,z_mahalanobis_sq,0.05,500,0.054
peer_gaming,0.5,z_mahalanobis_sq,0.01,500,0.012
peer_gaming,0.5,z_mahalanobis_sq,0.001,500,0.004
peer_gaming,0.5,t_iut,0.05,500,0.108
peer_gaming,0.5,t_iut,0.01,500,0.016
peer_gaming,0.5,t_iut,0.001,500,0.0
peer_gaming,0.5,z_plus_softmax,0.05,499,0.032064128256513
peer_gaming,0.5,z_plus_softmax,0.01,499,0.0160320641282565
peer_gaming,0.5,z_plus_softmax,0.001,499,0.0120240480961923
peer_gaming,0.5,z_plus_orth,0.05,499,0.0400801603206412
peer_gaming,0.5,z_plus_orth,0.01,499,0.0160320641282565
peer_gaming,0.5,z_plus_orth,0.001,499,0.0120240480961923
peer_gaming,1.0,z_plus,0.05,500,0.114
peer_gaming,1.0,z_plus,0.01,500,0.026
peer_gaming,1.0,z_plus,0.001,500,0.004
peer_gaming,1.0,z_plus_renorm,0.05,500,0.058
peer_gaming,1.0,z_plus_renorm,0.01,500,0.004
peer_gaming,1.0,z_plus_renorm,0.001,500,0.0
peer_gaming,1.0,breadth,0.05,500,0.052
peer_gaming,1.0,breadth,0.01,500,0.0
peer_gaming,1.0,breadth,0.001,500,0.0
peer_gaming,1.0,z_mahalanobis_sq,0.05,500,0.114
peer_gaming,1.0,z_mahalanobis_sq,0.01,500,0.018
