archetype,delta,detector,alpha,n_finite,flag_rate
temporal_smoothing,1.5,z3,0.001,500,0.0
temporal_smoothing,1.5,z4,0.05,500,0.026
temporal_smoothing,1.5,z4,0.01,500,0.026
temporal_smoothing,1.5,z4,0.001,500,0.026
temporal_smoothing,1.5,z6,0.05,500,0.552
temporal_smoothing,1.5,z6,0.01,500,0.372
temporal_smoothing,1.5,z6,0.001,500,0.23
temporal_smoothing,1.5,z8,0.05,500,0.056
temporal_smoothing,1.5,z8,0.01,500,0.004
temporal_smoothing,1.5,z8,0.001,500,0.002
temporal_smoothing,1.5,z57,0.05,500,0.03
temporal_smoothing,1.5,z57,0.01,500,0.008
temporal_smoothing,1.5,z57,0.001,500,0.004
temporal_smoothing,2.0,z1,0.05,500,0.136
temporal_smoothing,2.0,z1,0.01,500,0.136
temporal_smoothing,2.0,z1,0.001,500,0.136
temporal_smoothing,2.0,z2,0.05,500,0.188
temporal_smoothing,2.0,z2,0.01,500,0.106
temporal_smoothing,2.0,z2,0.001,500,0.05
temporal_smoothing,2.0,z3,0.05,500,0.056
temporal_smoothing,2.0,z3,0.01,500,0.0
temporal_smoothing,2.0,z3,0.001,500,0.0
temporal_smoothing,2.0,z4,0.05,500,0.028
temporal_smoothing,2.0,z4,0.01,500,0.028
temporal_smoothing,2.0,z4,0.001,500,0.028
temporal_smoothing,2.0,z6,0.05,500,0.676
temporal_smoothing,2.0,z6,0.01,500,0.512
temporal_smoothing,2.0,z6,0.001,500,0.318
temporal_smoothing,2.0,z8,0.05,500,0.066
temporal_smoothing,2.0,z8,0.01,500,0.018
temporal_smoothing,2.0,z8,0.001,500,0.004
temporal_smoothing,2.0,z57,0.05,500,0.034
temporal_smoothing,2.0,z57,0.01,500,0.016
temporal_smoothing,2.0,z57,0.001,500,0.006
temporal_smoothing,3.0,z1,0.05,500,0.146
temporal_smoothing,3.0,z1,0.01,500,0.146
temporal_smoothing,3.0,z1,0.001,500,0.146
temporal_smoothing,3.0,z2,0.05,500,0.2
temporal_smoothing,3.0,z2,0.01,500,0.108
temporal_smoothing,3.0,z2,0.001,500,0.042
temporal_smoothing,3.0,z3,0.05,500,0.032
temporal_smoothing,3.0,z3,0.01,500,0.0
temporal_smoothing,3.0,z3,0.001,500,0.0
temporal_smoothing,3.0,z4,0.05,500,0.036
temporal_smoothing,3.0,z4,0.01,500,0.036
temporal_smoothing,3.0,z4,0.001,500,0.036
temporal_smoothing,3.0,z6,0.05,500,0.874
temporal_smoothing,3.0,z6,0.01,500,0.768
temporal_smoothing,3.0,z6,0.001,500,0.548
temporal_smoothing,3.0,z8,0.05,500,0.054
temporal_smoothing,3.0,z8,0.01,500,0.01
temporal_smoothing,3.0,z8,0.001,500,0.004
temporal_smoothing,3.0,z57,0.05,500,0.042
temporal_smoothing,3.0,z57,0.01,500,0.016
temporal_smoothing,3.0,z57,0.001,500,0.008
peer_gaming,0.5,z1,0.05,500,0.158
peer_gaming,0.5,z1,0.01,500,0.158
peer_gaming,0.5,z1,0.001,500,0.158
peer_gaming,0.5,z2,0.05,500,0.244
peer_gaming,0.5,z2,0.01,500,0.126
peer_gaming,0.5,z2,0.001,500,0.05
peer_gaming,0.5,z3,0.05,500,0.134
peer_gaming,0.5,z3,0.01,500,0.022
peer_gaming,0.5,z3,0.001,500,0.0
peer_gaming,0.5,z4,0.05,500,0.086
peer_gaming,0.5,z4,0.01,500,0.018
peer_gaming,0.5,z4,0.001,500,0.018
peer_gaming,0.5,z6,0.05,500,0.25
peer_gaming,0.5,z6,0.01,500,0.194
peer_gaming,0.5,z6,0.001,500,0.144
peer_gaming,0.5,z8,0.05,500,0.05
peer_gaming,0.5,z8,0.01,500,0.018
peer_gaming,0.5,z8,0.001,500,0.006
peer_gaming,0.5,z57,0.05,500,0.106
peer_gaming,0.5,z57,0.01,500,0.018
peer_gaming,0.5,z57,0.001,500,0.008
peer_gaming,1.0,z1,0.05,500,0.14
peer_gaming,1.0,z1,0.01,500,0.14
peer_gaming,1.0,z1,0.001,500,0.14
peer_gaming,1.0,z2,0.05,500,0.186
peer_gaming,1.0,z2,0.01,500,0.114
peer_gaming,1.0,z2,0.001,500,0.042
peer_gaming,1.0,z3,0.05,500,0.236
peer_gaming,1.0,z3,0.01,500,0.062
peer_gaming,1.0,z3,0.001,500,0.006
peer_gaming,1.0,z4,0.05,500,0.298
peer_gaming,1.0,z4,0.01,500,0.024
peer_gaming,1.0,z4,0.001,500,0.016
peer_gaming,1.0,z6,0.05,500,0.228
peer_gaming,1.0,z6,0.01,500,0.166
peer_gaming,1.0,z6,0.001,500,0.13
peer_gaming,1.0,z8,0.05,500,0.04
peer_gaming,1.0,z8,0.01,500,0.008
peer_gaming,1.0,z8,0.001,500,0.004
peer_gaming,1.0,z57,0.05,500,0.238
peer_gaming,1.0,z57,0.01,500,0.092
peer_gaming,1.0,z57,0.001,500,0.012
peer_gaming,1.5,z1,0.05,500,0.132
peer_gaming,1.5,z1,0.01,500,0.132
peer_gaming,1.5,z1,0.001,500,0.132
peer_gaming,1.5,z2,0.05,500,0.222
peer_gaming,1.5,z2,0.01,500,0.106
peer_gaming,1.5,z2,0.001,500,0.05
peer_gaming,1.5,z3,0.05,500,0.518
peer_gaming,1.5,z3,0.01,500,0.22
peer_gaming,1.5,z3,0.001,500,0.04
peer_gaming,1.5,z4,0.05,500,0.416
peer_gaming,1.5,z4,0.01,500,0.188
peer_gaming,1.5,z4,0.001,500,0.01
peer_gaming,1.5,z6,0.05,500,0.264
peer_gaming,1.5,z6,0.01,500,0.204
peer_gaming,1.5,z6,0.001,500,0.142
peer_gaming,1.5,z8,0.05,500,0.08
peer_gaming,1.5,z8,0.01,500,0.016
peer_gaming,1.5,z8,0.001,500,0.01
peer_gaming,1.5,z57,0.05,500,0.464
peer_gaming,1.5,z57,0.01,500,0.166
peer_gaming,1.5,z57,0.001,500,0.058
peer_gaming,2.0,z1,0.05,500,0.152
peer_gaming,2.0,z1,0.01,500,0.152
peer_gaming,2.0,z1,0.001,500,0.152
peer_gaming,2.0,z2,0.05,500,0.218
peer_gaming,2.0,z2,0.01,500,0.11
peer_gaming,2.0,z2,0.001,500,0.052
peer_gaming,2.0,z3,0.05,500,0.686
peer_gaming,2.0,z3,0.01,500,0.42
peer_gaming,2.0,z3,0.001,500,0.148
peer_gaming,2.0,z4,0.05,500,0.556
peer_gaming,2.0,z4,0.01,500,0.406
peer_gaming,2.0,z4,0.001,500,0.106
peer_gaming,2.0,z6,0.05,500,0.234
peer_gaming,2.0,z6,0.01,500,0.186
peer_gaming,2.0,z6,0.001,500,0.134
peer_gaming,2.0,z8,0.05,500,0.058
peer_gaming,2.0,z8,0.01,500,0.012
peer_gaming,2.0,z8,0.001,500,0.008
peer_gaming,2.0,z57,0.05,500,0.612
peer_gaming,2.0,z57,0.01,500,0.374
peer_gaming,2.0,z57,0.001,500,0.12
peer_gaming,3.0,z1,0.05,500,0.136
peer_gaming,3.0,z1,0.01,500,0.136
peer_gaming,3.0,z1,0.001,500,0.136
peer_gaming,3.0,z2,0.05,500,0.196
peer_gaming,3.0,z2,0.01,500,0.084
peer_gaming,3.0,z2,0.001,500,0.046
peer_gaming,3.0,z3,0.05,500,0.972
peer_gaming,3.0,z3,0.01,500,0.784
peer_gaming,3.0,z3,0.001,500,0.52
peer_gaming,3.0,z4,0.05,500,0.882
peer_gaming,3.0,z4,0.01,500,0.658
peer_gaming,3.0,z4,0.001,500,0.444
peer_gaming,3.0,z6,0.05,500,0.25
peer_gaming,3.0,z6,0.01,500,0.206
peer_gaming,3.0,z6,0.001,500,0.138
peer_gaming,3.0,z8,0.05,500,0.074
peer_gaming,3.0,z8,0.01,500,0.016
peer_gaming,3.0,z8,0.001,500,0.004
peer_gaming,3.0,z57,0.05,500,0.89
peer_gaming,3.0,z57,0.01,500,0.694
peer_gaming,3.0,z57,0.001,500,0.408
systematic,0.5,z1,0.05,500,0.136
systematic,0.5,z1,0.01,500,0.136
systematic,0.5,z1,0.001,500,0.136
systematic,0.5,z2,0.05,500,0.25
systematic,0.5,z2,0.01,500,0.158
systematic,0.5,z2,0.001,500,0.054
systematic,0.5,z3,0.05,500,0.102
systematic,0.5,z3,0.01,500,0.008
systematic,0.5,z3,0.001,500,0.0
systematic,0.5,z4,0.05,500,0.088
systematic,0.5,z4,0.01,500,0.016
systematic,0.5,z4,0.001,500,0.016
systematic,0.5,z6,0.05,500,0.322
systematic,0.5,z6,0.01,500,0.224
systematic,0.5,z6,0.001,500,0.158
systematic,0.5,z8,0.05,500,0.042
systematic,0.5,z8,0.01,500,0.01
systematic,0.5,z8,0.001,500,0.008
systematic,0.5,z57,0.05,500,0.092
systematic,0.5,z57,0.01,500,0.018
systematic,0.5,z57,0.001,500,0.006
systematic,1.0,z1,0.05,500,0.23
systematic,1.0,z1,0.01,500,0.14
systematic,1.0,z1,0.001,500,0.14
systematic,1.0,z2,0.05,500,0.352
systematic,1.0,z2,0.01,500,0.218
systematic,1.0,z2,0.001,500,0.134
systematic,1.0,z3,0.05,500,0.274
systematic,1.0,z3,0.01,500,0.05
systematic,1.0,z3,0.001,500,0.004
systematic,1.0,z4,0.05,500,0.294
systematic,1.0,z4,0.01,500,0.032
systematic,1.0,z4,0.001,500,0.026
systematic,1.0,z6,0.05,500,0.368
systematic,1.0,z6,0.01,500,0.284
systematic,1.0,z6,0.001,500,0.166
systematic,1.0,z8,0.05,500,0.04
systematic,1.0,z8,0.01,500,0.012
systematic,1.0,z8,0.001,500,0.01
systematic,1.0,z57,0.05,500,0.214
systematic,1.0,z57,0.01,500,0.07
systematic,1.0,z57,0.001,500,0.002
